"profit","loss","targetloanstatus"
0,21000,"1"
1244.1875,0,"0"
0,18500,"1"
447.12,0,"0"
0,8500,"1"
1068,0,"0"
1370.07,0,"0"
2140.5,0,"0"
1288.3,0,"0"
0,9500,"1"
3354,0,"0"
256.86,0,"0"
2698,0,"0"
534,0,"0"
2245.1,0,"0"
953.28,0,"0"
395,0,"0"
0,12000,"1"
2927.5,0,"0"
4119.995,0,"0"
3270.15,0,"0"
0,5000,"1"
761.8,0,"0"
809.4,0,"0"
0,4000,"1"
0,15000,"1"
936.8,0,"0"
0,16500,"1"
1477.98,0,"0"
0,20000,"1"
0,4000,"1"
1189.2,0,"0"
615.06,0,"0"
1405.2,0,"0"
0,3000,"1"
0,3500,"1"
728.2,0,"0"
2111.4,0,"0"
2394,0,"0"
901.2,0,"0"
6957.81,0,"0"
732.5,0,"0"
2042.15,0,"0"
2617.44,0,"0"
1522.8,0,"0"
1532.16,0,"0"
600.8,0,"0"
0,17500,"1"
3185.6,0,"0"
0,35000,"1"
316,0,"0"
214.05,0,"0"
1246,0,"0"
993.6,0,"0"
852,0,"0"
3372.5,0,"0"
356,0,"0"
2388.84,0,"0"
1171,0,"0"
1242,0,"0"
534,0,"0"
7311.5,0,"0"
1422,0,"0"
386.43,0,"0"
0,15000,"1"
594.6,0,"0"
0,35000,"1"
3650,0,"0"
0,12200,"1"
566.58,0,"0"
0,25000,"1"
4803.96,0,"0"
2930,0,"0"
2748.6,0,"0"
1242,0,"0"
1189.2,0,"0"
852,0,"0"
0,7175,"1"
1903.5,0,"0"
2855.25,0,"0"
4994.5,0,"0"
1522.8,0,"0"
6524,0,"0"
4292.4,0,"0"
3728,0,"0"
904.5,0,"0"
1463.75,0,"0"
2023.5,0,"0"
2944.65,0,"0"
600.8,0,"0"
1217.84,0,"0"
745.2,0,"0"
623,0,"0"
1596,0,"0"
723.6,0,"0"
1832.4,0,"0"
0,17000,"1"
1379.175,0,"0"
0,16000,"1"
0,10000,"1"
0,8000,"1"
4872,0,"0"
956.34,0,"0"
1185,0,"0"
0,30000,"1"
1405.2,0,"0"
94.8,0,"0"
675.9,0,"0"
1618.8,0,"0"
395,0,"0"
1484.08,0,"0"
2973,0,"0"
1243.44,0,"0"
372.75,0,"0"
3558.75,0,"0"
743.585,0,"0"
0,15000,"1"
603,0,"0"
0,8400,"1"
1189.2,0,"0"
0,22750,"1"
4060,0,"0"
789.875,0,"0"
0,5000,"1"
741.44,0,"0"
539.6,0,"0"
1903.5,0,"0"
2473.575,0,"0"
1185,0,"0"
317.25,0,"0"
1199.275,0,"0"
0,14000,"1"
399.4875,0,"0"
662,0,"0"
2283.6,0,"0"
3728,0,"0"
2051,0,"0"
3115,0,"0"
876,0,"0"
1017.125,0,"0"
0,1400,"1"
3867.6,0,"0"
1954.8,0,"0"
801,0,"0"
1758,0,"0"
3235.1,0,"0"
3018.6,0,"0"
120.6,0,"0"
993.6,0,"0"
1242,0,"0"
856.98,0,"0"
474,0,"0"
1614.6,0,"0"
1848.215,0,"0"
0,2400,"1"
993.6,0,"0"
4943.0425,0,"0"
0,5000,"1"
1686.25,0,"0"
3516,0,"0"
289.44,0,"0"
2973,0,"0"
5515,0,"0"
985.125,0,"0"
0,2400,"1"
2190,0,"0"
404.7,0,"0"
1618.8,0,"0"
0,10000,"1"
0,10000,"1"
3354,0,"0"
1264,0,"0"
0,22800,"1"
2637,0,"0"
231.7,0,"0"
2130,0,"0"
0,3000,"1"
2907.45,0,"0"
1870.575,0,"0"
2698,0,"0"
708.615,0,"0"
3726.96,0,"0"
267.57,0,"0"
1141.6,0,"0"
856.2,0,"0"
693.7,0,"0"
553,0,"0"
705.5275,0,"0"
2737.5,0,"0"
3108.6,0,"0"
3092.175,0,"0"
545.8275,0,"0"
603,0,"0"
745.2,0,"0"
342.48,0,"0"
913.68,0,"0"
1387.4,0,"0"
1230.6,0,"0"
1384.5,0,"0"
0,4200,"1"
2342,0,"0"
0,7000,"1"
1787.425,0,"0"
0,3600,"1"
0,14000,"1"
397.2,0,"0"
711,0,"0"
1863,0,"0"
1465,0,"0"
1284.3,0,"0"
0,5325,"1"
723.6,0,"0"
0,14000,"1"
0,20000,"1"
0,16000,"1"
6044.5,0,"0"
1366.2,0,"0"
621,0,"0"
2698,0,"0"
4441.5,0,"0"
0,12000,"1"
901.2,0,"0"
1795.635,0,"0"
496.8,0,"0"
1068,0,"0"
639,0,"0"
0,17000,"1"
1126.5,0,"0"
0,4200,"1"
904.5,0,"0"
2235.6,0,"0"
0,19000,"1"
4047,0,"0"
2765,0,"0"
1264,0,"0"
0,4000,"1"
525.7,0,"0"
1915.2,0,"0"
1522.8,0,"0"
422.1,0,"0"
0,10000,"1"
260.64,0,"0"
3593.08,0,"0"
1405.2,0,"0"
843.12,0,"0"
1712.4,0,"0"
375.5,0,"0"
3390.66,0,"0"
542.84,0,"0"
745.2,0,"0"
712,0,"0"
1982,0,"0"
1744.08,0,"0"
447.12,0,"0"
301.5,0,"0"
936.8,0,"0"
1987.2,0,"0"
7822.5,0,"0"
0,5000,"1"
794.4,0,"0"
0,2800,"1"
1522.8,0,"0"
0,4000,"1"
623,0,"0"
596.4,0,"0"
0,12000,"1"
3777.9225,0,"0"
331,0,"0"
2012.4,0,"0"
4098.5,0,"0"
585.75,0,"0"
578.5,0,"0"
1278,0,"0"
948,0,"0"
0,4000,"1"
134.9,0,"0"
3105,0,"0"
1142.1,0,"0"
1309.4025,0,"0"
426.6,0,"0"
1727,0,"0"
0,6000,"1"
1465,0,"0"
0,2575,"1"
991,0,"0"
0,8000,"1"
2236.8,0,"0"
