"targetloanstatus","creditpolicy","loanamnt","term","intrate","installment","grade","emplength","dti","inqlast6mths","openacc","revolutil","totalacc","emp10years","delin2years","homeowner","annualinc_bin","revolbal_bin","verified","purpose_mod"
"NoDefault","Y",1750,"36months",0.1183,57.99,"B",3,22.44,1,11,0.93,24,"N","N","Y","Gp2","Gp3","N","debt_consolidation"
"NoDefault","Y",2500,"36months",0.1037,81.11,"B",3,19.66,0,10,0.337,29,"N","Y","Y","Gp1","Gp3","Y","living_expenses"
"NoDefault","Y",8000,"36months",0.1505,277.53,"D",10,6.26,0,6,0.917,10,"Y","Y","N","Gp1","Gp3","Y","debt_consolidation"
"NoDefault","Y",1500,"60months",0.1299,34.13,"C",0,2.95,0,10,0.267,42,"N","N","Y","Gp1","Gp1","Y","other"
"NoDefault","Y",6000,"36months",0.1496,207.87,"D",6,19.58,0,5,0.993,15,"N","N","N","Gp2","Gp4","N","other"
"NoDefault","Y",6400,"36months",0.0751,199.11,"A",3,12.03,1,6,0.243,15,"N","N","Y","Gp1","Gp2","N","debt_consolidation"
"NoDefault","Y",9600,"60months",0.1075,207.54,"B",10,13.75,3,6,0.568,29,"Y","N","Y","Gp4","Gp3","N","debt_consolidation"
"NoDefault","Y",30000,"60months",0.164,735.94,"E",9,21.19,0,15,0.378,45,"N","N","Y","Gp5","Gp5","Y","debt_consolidation"
"NoDefault","N",16000,"60months",0.1595,317.01,"E",10,21.06,5,8,0.044,27,"Y","N","Y","Gp4","Gp1","N","other"
"NoDefault","Y",4200,"36months",0.1422,144,"C",6,10.69,0,4,0.935,18,"N","N","N","Gp3","Gp1","N","living_expenses"
"NoDefault","Y",10400,"36months",0.0599,316.35,"A",9,12.11,0,6,0.002,15,"N","N","Y","Gp4","Gp1","N","credit_card"
"NoDefault","Y",9600,"36months",0.1629,338.89,"D",5,17.82,2,23,0.564,32,"N","N","N","Gp2","Gp3","Y","debt_consolidation"
"NoDefault","Y",4000,"36months",0.0788,125.13,"A",1,17.11,1,14,0.491,37,"N","N","N","Gp2","Gp4","N","luxury"
"NoDefault","Y",21600,"36months",0.1595,758.86,"E",10,15.07,2,20,0.57,30,"Y","N","Y","Gp5","Gp4","Y","debt_consolidation"
"NoDefault","Y",10000,"36months",0.0662,307.04,"A",4,2.59,2,8,0.074,24,"N","Y","Y","Gp4","Gp5","Y","business"
"NoDefault","N",14400,"36months",0.167,511.22,"E",1,16.97,9,14,0.224,22,"N","N","Y","Gp3","Gp4","N","credit_card"
"NoDefault","Y",12000,"36months",0.1426,411.67,"C",1,10.7,1,9,0.453,18,"N","N","N","Gp3","Gp2","Y","living_expenses"
"NoDefault","Y",20000,"60months",0.183,511.14,"F",10,3.55,0,3,0.678,17,"Y","N","Y","Gp4","Gp3","N","credit_card"
"NoDefault","Y",12000,"36months",0.1199,398.52,"B",5,11.2,2,12,0.176,14,"N","N","Y","Gp2","Gp1","Y","other"
"NoDefault","Y",4600,"36months",0.0788,143.9,"A",10,10.38,2,15,0.208,27,"Y","Y","N","Gp3","Gp3","N","car"
"NoDefault","N",2000,"36months",0.1166,66.11,"C",4,17.29,4,9,0.831,15,"N","N","N","Gp1","Gp5","N","living_expenses"
"NoDefault","Y",5500,"36months",0.1505,190.81,"D",2,12.7,2,12,0.574,24,"N","Y","N","Gp2","Gp1","N","car"
"NoDefault","Y",20000,"60months",0.1171,441.97,"B",9,18.96,0,7,0.551,11,"N","N","N","Gp1","Gp3","Y","debt_consolidation"
"NoDefault","Y",12000,"36months",0.1799,433.77,"E",3,17.73,0,8,0.918,11,"N","N","N","Gp3","Gp3","Y","other"
"NoDefault","Y",2000,"36months",0.1322,67.61,"C",1,9.77,3,7,0.774,15,"N","N","Y","Gp3","Gp1","N","other"
"NoDefault","Y",20000,"60months",0.1171,441.97,"B",1,19.42,0,10,0.391,23,"N","N","Y","Gp5","Gp3","Y","debt_consolidation"
"NoDefault","Y",8000,"36months",0.1062,260.48,"B",2,16.26,1,12,0.245,25,"N","N","N","Gp3","Gp2","N","debt_consolidation"
"NoDefault","Y",5000,"36months",0.1372,170.21,"C",2,4.65,0,4,0.46,4,"N","N","N","Gp2","Gp2","N","living_expenses"
"NoDefault","Y",4500,"36months",0.1059,146.46,"B",3,23.45,0,9,0.43,15,"N","N","N","Gp1","Gp3","Y","debt_consolidation"
"NoDefault","Y",7000,"36months",0.08,219.36,"A",0,6.61,3,10,0,17,"N","N","Y","Gp2","Gp1","Y","other"
"NoDefault","Y",35000,"36months",0.089,1111.37,"A",10,12.09,0,10,0.602,28,"Y","N","Y","Gp5","Gp5","Y","credit_card"
"NoDefault","Y",4000,"36months",0.1484,138.35,"D",2,18.65,0,6,0.996,13,"N","N","N","Gp1","Gp3","N","debt_consolidation"
"NoDefault","Y",6000,"36months",0.1,193.61,"B",1,9.81,0,7,0.799,19,"N","Y","Y","Gp3","Gp2","Y","credit_card"
"NoDefault","Y",12800,"60months",0.1596,311,"C",2,11.64,2,12,0.444,26,"N","N","N","Gp3","Gp3","Y","debt_consolidation"
"NoDefault","Y",8400,"36months",0.0788,262.77,"A",1,13.1,0,16,0.584,41,"N","N","Y","Gp4","Gp4","N","debt_consolidation"
"NoDefault","Y",6000,"36months",0.08,188.02,"A",2,13.11,0,10,0.032,30,"N","N","Y","Gp3","Gp5","N","luxury"
"NoDefault","Y",4000,"60months",0.1111,87.19,"B",6,20.49,0,5,0,17,"N","Y","Y","Gp3","Gp1","Y","debt_consolidation"
"NoDefault","N",2500,"36months",0.1261,83.77,"D",2,24.17,4,17,0.836,37,"N","N","N","Gp3","Gp5","N","credit_card"
"NoDefault","Y",25000,"36months",0.1929,920.08,"F",10,14.77,0,16,0.851,45,"Y","N","Y","Gp5","Gp5","Y","debt_consolidation"
"NoDefault","Y",7000,"36months",0.0999,225.84,"B",6,5.23,3,5,0.11,14,"N","Y","Y","Gp1","Gp2","N","debt_consolidation"
"NoDefault","Y",16800,"60months",0.1645,330.31,"E",10,19.95,0,18,0.767,34,"Y","N","Y","Gp3","Gp5","Y","debt_consolidation"
"NoDefault","Y",10000,"36months",0.089,317.54,"A",0,1.42,2,3,0.085,9,"N","N","N","Gp1","Gp1","Y","living_expenses"
"NoDefault","Y",25000,"60months",0.1714,623.2,"E",3,13.57,0,10,0.841,17,"N","N","N","Gp2","Gp5","Y","debt_consolidation"
